Checkout_ID,ISBN,CheckoutMonth,NumberCheckouts
820,989-28-79-05638-4,10,20
821,989-28-79-82197-5,10,22
822,989-28-79-05638-4,1,17
823,989-28-79-82197-5,1,16
824,989-28-79-05638-4,8,18
825,989-28-79-82197-5,8,18
826,989-28-79-05638-4,6,18
827,989-28-79-82197-5,6,14
828,989-28-79-05638-4,11,17
829,989-28-79-82197-5,11,12
830,989-28-79-05638-4,2,13
831,989-28-79-82197-5,2,14
832,989-28-79-05638-4,5,12
833,989-28-79-82197-5,5,13
834,989-28-79-05638-4,12,8
835,989-28-79-82197-5,12,8
836,989-28-654-8573-0,11,11
837,989-28-654-6033-1,11,10
838,989-28-654-8573-0,6,9
839,989-28-654-6033-1,6,9
840,989-28-654-8573-0,7,9
841,989-28-654-6033-1,7,11
842,989-28-654-8573-0,8,9
843,989-28-654-6033-1,8,9
844,989-28-654-8573-0,1,8
845,989-28-654-6033-1,1,8
846,989-28-654-8573-0,3,8
847,989-28-654-6033-1,3,8
848,989-28-654-8573-0,4,7
849,989-28-654-6033-1,4,9
850,989-28-654-8573-0,2,5
851,989-28-654-6033-1,2,7
852,989-28-654-8573-0,5,5
853,989-28-654-6033-1,5,8
854,989-28-654-8573-0,9,6
855,989-28-654-6033-1,9,8
856,989-28-654-8573-0,10,7
857,989-28-654-6033-1,10,7
858,989-28-654-8573-0,12,8
859,989-28-654-6033-1,12,7
860,989-28-79-82125-8,3,50
861,989-28-79-13871-4,3,46
862,989-28-79-82125-8,7,37
863,989-28-79-13871-4,7,46
864,989-28-79-82125-8,2,44
865,989-28-79-13871-4,2,44
866,989-28-79-82125-8,1,28
867,989-28-79-13871-4,1,41
868,989-28-79-82125-8,4,38
869,989-28-79-13871-4,4,38
870,989-28-79-82125-8,6,37
871,989-28-79-13871-4,6,37
872,989-28-79-82125-8,10,33
873,989-28-79-13871-4,10,37
874,989-28-79-82125-8,5,36
875,989-28-79-13871-4,5,39
876,989-28-79-82125-8,8,36
877,989-28-79-13871-4,8,32
878,989-28-79-82125-8,11,39
879,989-28-79-13871-4,11,36
880,989-28-79-82125-8,9,26
881,989-28-79-13871-4,9,28
882,989-28-79-82125-8,12,19
883,989-28-79-13871-4,12,19
884,989-28-79-22871-2,8,12
885,989-28-79-22871-2,7,16
886,989-28-79-22871-2,9,8
887,989-28-79-22871-2,6,7
888,989-28-79-22871-2,12,6
889,989-28-79-22871-2,4,5
890,989-28-79-22871-2,10,6
891,989-28-79-22871-2,1,4
892,989-28-79-22871-2,11,3
893,989-28-79-22871-2,3,3
894,989-28-79-43574-5,2,125
895,989-28-79-71565-6,2,91
896,989-28-79-13801-1,2,102
897,989-28-79-91028-0,2,102
898,989-28-79-43574-5,3,124
899,989-28-79-71565-6,3,124
900,989-28-79-13801-1,3,112
901,989-28-79-91028-0,3,101
902,989-28-79-43574-5,7,130
903,989-28-79-71565-6,7,117
904,989-28-79-13801-1,7,143
905,989-28-79-91028-0,7,156
906,989-28-79-43574-5,4,152
907,989-28-79-71565-6,4,101
908,989-28-79-13801-1,4,101
909,989-28-79-91028-0,4,101
910,989-28-79-43574-5,5,114
911,989-28-79-71565-6,5,114
912,989-28-79-13801-1,5,114
913,989-28-79-91028-0,5,101
914,989-28-79-43574-5,1,109
915,989-28-79-71565-6,1,121
916,989-28-79-13801-1,1,97
917,989-28-79-91028-0,1,109
918,989-28-79-43574-5,6,134
919,989-28-79-71565-6,6,97
920,989-28-79-13801-1,6,146
921,989-28-79-91028-0,6,134
922,989-28-79-43574-5,8,86
923,989-28-79-71565-6,8,97
924,989-28-79-13801-1,8,86
925,989-28-79-91028-0,8,118
926,989-28-79-43574-5,9,90
927,989-28-79-71565-6,9,73
928,989-28-79-13801-1,9,90
929,989-28-79-91028-0,9,73
930,989-28-79-43574-5,10,93
931,989-28-79-71565-6,10,85
932,989-28-79-13801-1,10,62
933,989-28-79-91028-0,10,93
934,989-28-79-43574-5,11,56
935,989-28-79-71565-6,11,76
936,989-28-79-13801-1,11,63
937,989-28-79-91028-0,11,63
938,989-28-79-43574-5,12,48
939,989-28-79-71565-6,12,54
940,989-28-79-13801-1,12,72
941,989-28-79-91028-0,12,54
942,989-28-229-0197-6,7,13
943,989-28-229-0197-6,1,15
944,989-28-229-0197-6,8,14
945,989-28-229-0197-6,10,17
946,989-28-229-0197-6,2,16
947,989-28-229-0197-6,3,14
948,989-28-229-0197-6,9,16
949,989-28-229-0197-6,5,13
950,989-28-229-0197-6,11,11
951,989-28-229-0197-6,12,14
952,989-28-229-0197-6,4,13
953,989-28-229-0197-6,6,11
954,989-28-79-86624-2,1,28
955,989-28-79-11297-4,1,30
956,989-28-79-86624-2,6,22
957,989-28-79-11297-4,6,18
958,989-28-79-86624-2,10,17
959,989-28-79-11297-4,10,24
960,989-28-79-86624-2,7,22
961,989-28-79-11297-4,7,16
962,989-28-79-86624-2,8,23
963,989-28-79-11297-4,8,21
964,989-28-79-86624-2,2,17
965,989-28-79-11297-4,2,20
966,989-28-79-86624-2,3,12
967,989-28-79-11297-4,3,17
968,989-28-79-86624-2,4,12
969,989-28-79-11297-4,4,14
970,989-28-79-86624-2,9,12
971,989-28-79-11297-4,9,14
972,989-28-79-86624-2,11,17
973,989-28-79-11297-4,11,14
974,989-28-79-86624-2,5,15
975,989-28-79-11297-4,5,15
976,989-28-79-86624-2,12,13
977,989-28-79-11297-4,12,15
978,989-28-229-1404-4,8,75
979,989-28-229-1404-4,9,70
980,989-28-229-1404-4,7,53
981,989-28-229-1404-4,10,52
982,989-28-229-1404-4,11,50
983,989-28-229-1404-4,1,40
984,989-28-229-1404-4,12,36
985,989-28-229-1404-4,3,26
986,989-28-229-1404-4,6,28
987,989-28-229-1404-4,2,23
988,989-28-229-1404-4,5,16
989,989-28-229-1404-4,4,14
990,989-28-79-70597-8,7,8
991,989-28-79-04510-4,7,9
992,989-28-79-70597-8,10,7
993,989-28-79-04510-4,10,7
994,989-28-79-70597-8,8,7
995,989-28-79-04510-4,8,6
996,989-28-79-70597-8,9,8
997,989-28-79-04510-4,9,6
998,989-28-79-70597-8,3,6
999,989-28-79-04510-4,3,6
1000,989-28-79-70597-8,4,4
1001,989-28-79-04510-4,4,6
1002,989-28-79-70597-8,5,4
1003,989-28-79-04510-4,5,5
1004,989-28-79-70597-8,6,4
1005,989-28-79-04510-4,6,6
1006,989-28-79-70597-8,11,4
1007,989-28-79-04510-4,11,4
1008,989-28-79-70597-8,12,6
1009,989-28-79-04510-4,12,4
1010,989-28-79-70597-8,1,4
1011,989-28-79-04510-4,1,4
1012,989-28-79-70597-8,2,4
1013,989-28-79-04510-4,2,3
1014,989-28-79-51397-9,7,26
1015,989-28-79-26824-4,7,26
1016,989-28-79-51397-9,1,23
1017,989-28-79-26824-4,1,30
1018,989-28-79-51397-9,5,23
1019,989-28-79-26824-4,5,28
1020,989-28-79-51397-9,3,26
1021,989-28-79-26824-4,3,19
1022,989-28-79-51397-9,6,26
1023,989-28-79-26824-4,6,23
1024,989-28-79-51397-9,8,26
1025,989-28-79-26824-4,8,26
1026,989-28-79-51397-9,4,20
1027,989-28-79-26824-4,4,20
1028,989-28-79-51397-9,9,27
1029,989-28-79-26824-4,9,25
1030,989-28-79-51397-9,10,24
1031,989-28-79-26824-4,10,20
1032,989-28-79-51397-9,2,14
1033,989-28-79-26824-4,2,17
1034,989-28-79-51397-9,11,21
1035,989-28-79-26824-4,11,17
1036,989-28-79-51397-9,12,18
1037,989-28-79-26824-4,12,20
1038,989-28-229-6632-6,1,45
1039,989-28-229-6632-6,7,45
1040,989-28-229-6632-6,3,50
1041,989-28-229-6632-6,4,40
1042,989-28-229-6632-6,5,53
1043,989-28-229-6632-6,2,34
1044,989-28-229-6632-6,6,47
1045,989-28-229-6632-6,8,38
1046,989-28-229-6632-6,9,38
1047,989-28-229-6632-6,10,38
1048,989-28-229-6632-6,11,46
1049,989-28-229-6632-6,12,34
1050,989-28-654-7965-4,10,14
1051,989-28-654-0127-3,10,14
1052,989-28-654-7965-4,1,9
1053,989-28-654-0127-3,1,10
1054,989-28-654-7965-4,3,9
1055,989-28-654-0127-3,3,11
1056,989-28-654-7965-4,4,10
1057,989-28-654-0127-3,4,11
1058,989-28-654-7965-4,6,11
1059,989-28-654-0127-3,6,9
1060,989-28-654-7965-4,9,9
1061,989-28-654-0127-3,9,9
1062,989-28-654-7965-4,2,8
1063,989-28-654-0127-3,2,6
1064,989-28-654-7965-4,7,6
1065,989-28-654-0127-3,7,8
1066,989-28-654-7965-4,8,9
1067,989-28-654-0127-3,8,9
1068,989-28-654-7965-4,11,6
1069,989-28-654-0127-3,11,7
1070,989-28-654-7965-4,5,6
1071,989-28-654-0127-3,5,5
1072,989-28-654-7965-4,12,5
1073,989-28-654-0127-3,12,4
1074,989-28-79-22562-9,3,63
1075,989-28-79-05670-4,3,58
1076,989-28-79-22562-9,7,47
1077,989-28-79-05670-4,7,47
1078,989-28-79-22562-9,10,52
1079,989-28-79-05670-4,10,63
1080,989-28-79-22562-9,1,55
1081,989-28-79-05670-4,1,55
1082,989-28-79-22562-9,5,40
1083,989-28-79-05670-4,5,50
1084,989-28-79-22562-9,11,59
1085,989-28-79-05670-4,11,49
1086,989-28-79-22562-9,4,58
1087,989-28-79-05670-4,4,39
1088,989-28-79-22562-9,8,39
1089,989-28-79-05670-4,8,44
1090,989-28-79-22562-9,2,57
1091,989-28-79-05670-4,2,43
1092,989-28-79-22562-9,6,46
1093,989-28-79-05670-4,6,42
1094,989-28-79-22562-9,9,36
1095,989-28-79-05670-4,9,50
1096,989-28-79-22562-9,12,37
1097,989-28-79-05670-4,12,45
